00113	-7.978264	056EA0E2	University Of Sheffield
00114	-7.984677	074BDB0A	California Institute Of Technology
00115	-7.986753	0B8B0D91	Utrecht University
00116	-7.989624	0228E4F2	University Of Bristol
00117	-8.006503	01C3C549	Ecole Normale Superieure
00118	-8.007352	0C280BFF	Keio University
00119	-8.007706	05DCD65A	Delft University Of Technology
00120	-8.012748	017C99DB	Fudan University
00121	-8.013716	02AFF078	University Of Florence
00122	-8.014404	08BDCA25	University Of Liverpool
00123	-8.015385	02D4EDF8	Imperial College London
00124	-8.020615	083839C7	North Carolina State University
00125	-8.021091	0088BF3F	National Autonomous University Of Mexico
00126	-8.029441	350410CF	University Of Hong Kong
00127	-8.037511	08443C72	University Of Padua
00128	-8.042297	06C0EC61	Hiroshima University
00129	-8.043130	0296D744	University Of Southampton
00130	-8.044323	00784876	University Of Glasgow
00131	-8.052665	06194FDE	Rutgers University
00132	-8.053250	5019D871	Los Alamos National Laboratory
00133	-8.053683	4E55E3A2	Institut National De La Recherche Agronomique
00134	-8.056454	004B1FBC	Fraunhofer Society
00135	-8.061141	4CD84994	Oak Ridge National Laboratory
00136	-8.061446	005237C4	University Of Rochester
00137	-8.068218	081E3F30	Harvard University
00138	-8.076189	05EEE4E0	Polish Academy Of Sciences
00139	-8.078284	08B9DFEF	University Of Tsukuba
00140	-8.082006	0ACF7BFE	University Of Erlangen Nuremberg
00141	-8.082610	08B1D62B	Radboud University Nijmegen
00142	-8.089288	0A97E0C1	The Chinese University Of Hong Kong
00143	-8.090121	0312B01D	University Of Virginia
00144	-8.091572	05DB33D4	Mcmaster University
00145	-8.100214	09630970	Kaist
00146	-8.101936	0C37CBAD	Harbin Institute Of Technology
00147	-8.102996	0B3CDF24	University Of Colorado Boulder
00148	-8.105753	4E7E575E	Cleveland Clinic
00149	-8.107939	067461C8	University Of Pisa
00150	-8.113901	0D52D485	University Of Utah
00151	-8.116291	0741BB65	Complutense University Of Madrid
00152	-8.131579	0B05FE67	University Of Oslo
00153	-8.133379	0619822C	Karlsruhe Institute Of Technology
00154	-8.134110	0BF79DFE	National And Kapodistrian University Of Athens
00155	-8.135953	0A5DAC76	Iowa State University
00156	-8.136054	0ACFCEA7	State University Of Campinas
00157	-8.143116	0A0D2BAD	University Of Calgary
00158	-8.145018	092F5EFF	Shandong University
00159	-8.149669	8626355D	Samsung
00160	-8.160688	4CDC114C	Centers For Disease Control And Prevention
00161	-8.163320	0A188E08	University Of Groningen
00162	-8.172258	4CA3343B	Merck Co
00163	-8.175993	00783204	Charite
00164	-8.176710	0A4ACFBD	Nanyang Technological University
00165	-8.176714	090B77B3	University Of Waterloo
00166	-8.177323	01EE3848	University Of Alabama At Birmingham
00167	-8.177653	007B68B5	University Of Tubingen
00168	-8.182658	09800845	Chiba University
00169	-8.183595	4D0FB79F	Commonwealth Scientific And Industrial Research Organisation
00170	-8.194098	021CC5D8	Eth Zurich
00171	-8.196944	0A2FAFA5	Duke University
00172	-8.201896	09C2F114	Okayama University
00173	-8.207888	070DD774	Australian National University
00174	-8.209804	08EE8CAA	National Academy Of Sciences Of Ukraine
00175	-8.213579	4F372D4A	Duke University Hospital
00176	-8.213925	013CF852	Washington University School Of Medicine
00177	-8.214761	0352694C	Arizona State University
00178	-8.215889	04634070	National Institute Of Advanced Industrial Science And Technology
00179	-8.230956	0A63B3A3	Technion Israel Institute Of Technology
00180	-8.234221	04BD3A9F	Cardiff University
00181	-8.234660	4C7D4F86	Brigham And Women S Hospital
00182	-8.234792	09E0E324	University Of Georgia
00183	-8.236587	0C33D1B1	Queen S University
00184	-8.239415	0BC7337B	National Research Council
00185	-8.241250	01F71AD0	Yale University
00186	-8.242556	0578DF46	National Cheng Kung University
00187	-8.243657	0965EC45	University Of Liege
00188	-8.245856	043A55FE	Universite De Montreal
00189	-8.245958	01710C78	Sichuan University
